"Povr?ina vinogradov in ?tevilo sadik glede na gojitveno obliko, vinorodne de?ele, Slovenija, 2009 in 2015"

" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"SLOVENIJA";" ";"Podravje";" ";"Posavje";" ";"Primorje";" ";"Izven vinorodnih de?el";" ";"SLOVENIJA";" ";"Podravje";" ";"Posavje";" ";"Primorje";" ";"Izven vinorodnih de?el";" "
" ";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)";"Povr?ina (ha)";"?tevilo sadik (v 1000)"
"Kra?ki latnik";185.9;499.5;z;z;-;-;z;z;-;-;160.7;440.7;z;z;-;-;z;z;-;-
"Vise?i ?paroni 'casarsa'";2009.1;5652.3;25.3;86.5;z;z;1981.6;5557.4;z;z;1457.7;4195.0;16.9;62.3;z;z;1439.1;4125.8;z;z
"Navadni latnik";211.2;579.0;z;z;z;z;210.2;575.6;-;-;164.3;439.8;0.4;1.2;z;z;163.0;435.4;z;z
"Sylvoz";341.3;1041.5;8.1;31.8;6.2;22.9;327.0;986.9;-;-;259.2;830.8;6.4;26.2;2.0;7.8;250.7;796.8;-;-
"Ribji hrbet";29.2;82.5;z;z;z;z;28.3;79.7;-;-;20.5;59.5;z;z;z;z;20.1;58.1;-;-
"Enojni guyot";3486.1;14016.8;1334.5;5578.8;264.5;1157.8;1883.8;7264.9;3.4;15.4;4731.8;18788.3;1953.6;7736.1;293.1;1249.2;2480.9;9786.1;4.3;17.0
"Dvojni guyot";6580.4;23805.0;4722.2;17459.9;450.3;1772.6;1402.3;4550.0;5.6;22.5;5446.9;19936.6;3830.9;14330.1;334.6;1325.9;1275.5;4257.2;5.9;23.4
"Ilo?ka vzgoja";4.3;17.5;3.4;14.4;z;z;z;z;-;-;3.2;13.7;z;z;z;z;z;z;-;-
"Pahlja?aste vzgoje";1.2;3.8;z;z;z;z;z;z;-;-;1.2;3.7;z;z;z;z;z;z;-;-
"Ni?ji enoramni kordon";127.0;435.3;94.4;324.1;0.9;3.4;31.7;107.8;-;-;89.6;311.9;62.8;217.6;0.7;2.6;26.1;91.8;-;-
"Ni?ji dvoramni kordon";41.3;144.1;23.0;82.9;z;z;11.6;34.6;z;z;27.9;98.2;15.7;56.5;z;z;8.5;25.9;z;z
"Nizka ob kolju (ekstenzivni vinogradi)";28.5;127.0;12.1;47.8;z;z;1.4;4.5;z;z;17.2;66.0;7.6;27.6;8.9;35.4;0.6;2.2;0.2;0.8
"Vertiko";0.6;2.7;z;z;z;z;z;z;-;-;0.7;1.8;z;z;z;z;z;z;-;-
"Neznana";3308.2;12507.1;718.8;2581.2;1999.2;8192.4;577.7;1677.4;12.6;56.0;3307.1;12557.1;617.3;2329.2;2109.4;8538.0;565.5;1629.6;14.9;60.1
