"Površina in število vinogradov glede na naklon zemljišèa pred terasiranjem, vinorodne dežele in okoliši, Slovenija 2009 in 2015"

" ";"2009";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" "
" ";"nad 15% do 30%";" ";"nad 30% do 45%";" ";"nad 45% do 60%";" ";"nad 60%";" ";"nad 15% do 30%";" ";"nad 30% do 45%";" ";"nad 45% do 60%";" ";"nad 60%";" "
" ";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov";"Površina (ha)";"Število vinogradov"
"SLOVENIJA";3563.1;5285;1681.7;3450;249.3;787;6.8;61;2950.2;5498;1450.0;3678;228.7;959;9.0;101
"Podravje";759.2;766;671.1;877;162.2;378;4.1;31;575.3;842;558.2;1023;145.2;482;5.3;52
"Podravje- Štajerska Slovenija";734.6;740;669.1;868;161.7;371;3.9;28;567.7;811;556.6;1013;z;z;z;z
"Podravje- Prekmurje";24.6;26;2.0;9;0.5;7;0.2;3;7.6;31;1.7;10;z;z;z;z
"Posavje";309.0;1197;318.1;1360;z;z;z;z;245.0;1228;271.4;1455;47.2;362;3.2;45
"Posavje- Bizeljsko Sremiè";144.8;377;163.1;508;z;z;z;z;107.8;365;128.2;496;z;z;z;z
"Posavje- Bela krajina";60.1;309;18.8;112;z;z;z;z;52.1;343;18.2;137;z;z;z;z
"Posavje- Dolenjska";104.1;511;136.3;740;30.4;216;1.8;21;85.1;520;124.9;822;31.5;273;2.5;36
"Primorje";2493.9;3314;690.3;1197;39.4;110;-;-;2129.4;3421;617.6;1179;z;z;z;z
"Primorje- Slovenska Istra";276.9;392;z;z;z;z;-;-;247.1;629;28.4;87;0.4;5;-;-
"Primorje- Goriška brda (Brda)";1064.9;1441;z;651;z;56;-;-;951.5;1341;345.2;631;17.2;60;-;-
"Primorje- Kras";29.8;71;z;z;z;z;-;-;27.9;68;7.8;17;-;-;-;-
"Primorje- Vipavska dolina (Vipava)";1122.4;1410;296.6;z;22.4;z;-;-;902.8;1383;236.3;444;z;z;z;z
"Izven vinorodnih okolišev";1.0;8;2.2;16;z;z;z;z;0.5;7;2.8;21;z;z;z;z

"Vir: Statistièni urad Republike Slovenije. "
" "
"Zaradi zaokroževanja števil se seštevki ponekod ne ujamajo."

"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8196 target=_blank) Metodološka pojasnila"

