"Površina vinogradov z najpogostejšimi sortami po starostnih razredih, Slovenija, 2009 and 2015"

" ";"2009";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" "
" ";"do 1 leta";"1 do 2 leti";"3 do 5 let";"6 do 9 let";"10 do 19 let";"20 do 29 let";"30 let in veè";"Ni podatka o starosti";"do 1 leta";"1 do 2 leti";"3 do 5 let";"6 do 9 let";"10 do 19 let";"20 do 29 let";"30 let in veè";"Ni podatka o starosti"
"Bele sorte- Beli pinot";2.7;11.6;31.7;48.5;181.9;186.8;61.7;-;3.6;11.4;26.2;24.0;159.9;134.0;93.8;-
"Bele sorte- Chardonnay";33.7;58.6;110.0;154.7;444.0;336.8;70.3;-;23.4;71.2;83.7;133.1;385.7;320.3;132.9;-
"Bele sorte- Kraljevina";4.6;4.4;10.8;16.9;24.6;41.3;112.6;-;3.0;5.5;4.6;14.7;38.0;22.9;114.6;-
"Bele sorte- Laški rizling";19.0;30.2;75.1;103.2;571.4;906.1;655.1;-;25.6;48.9;64.5;84.6;368.3;517.5;831.6;-
"Bele sorte- Malvazija";36.5;39.2;42.1;30.4;193.4;240.7;157.2;-;24.6;75.8;59.1;97.4;145.8;170.1;311.5;-
"Bele sorte- Rebula";16.5;11.5;36.3;29.1;234.9;216.2;198.1;-;9.1;32.2;35.4;39.1;150.0;160.7;186.6;-
"Bele sorte- Renski rizling";3.5;11.5;29.9;62.2;292.5;227.1;49.4;-;1.9;14.6;19.6;22.9;196.4;247.2;116.5;-
"Bele sorte- Rumeni muškat";27.8;45.6;74.4;78.3;149.2;38.5;15.6;-;17.2;40.0;75.0;114.7;204.0;70.7;32.8;-
"Bele sorte- Sauvignon";20.8;66.4;101.6;137.7;458.6;212.1;64.2;-;33.1;72.4;118.4;120.4;430.6;239.9;103.6;-
"Bele sorte- Sivi pinot";12.1;14.0;77.6;82.7;263.8;44.1;6.5;-;5.1;12.1;33.4;40.0;270.8;116.9;15.5;-
"Bele sorte- Šipon";10.1;10.3;21.7;26.8;85.2;307.7;189.5;-;5.5;15.4;32.7;24.1;81.8;105.4;282.0;-
"Bele sorte- Traminec";15.3;19.6;16.8;34.5;56.2;70.2;16.2;-;0.6;7.7;27.0;43.0;72.9;39.4;32.8;-
"Bele sorte- Zeleni silvanec";1.8;1.7;5.0;11.0;46.2;26.8;12.0;-;1.1;3.4;4.9;4.5;32.1;33.6;15.7;-
"Ostale bele sorte";19.5;44.0;64.6;76.9;507.2;597.5;494.5;-;29.7;78.8;71.3;97.0;359.1;499.5;760.0;-
"Rdeèe sorte- Barbera";1.3;3.6;22.0;30.9;34.1;16.1;30.9;-;1.8;2.7;2.1;8.1;60.1;11.2;17.0;-
"Rdeèe sorte- Cabernet franc";z;z;16.1;10.6;11.8;3.4;4.0;-;2.3;1.2;1.0;9.0;28.1;1.9;3.3;-
"Rdeèe sorte- Cabernet sauvignon";6.2;10.2;87.5;142.0;174.3;20.1;23.7;-;5.3;5.4;6.2;35.0;311.6;29.2;23.2;-
"Rdeèe sorte- Merlot";8.1;20.5;163.6;159.2;144.5;86.0;414.5;-;12.4;15.2;6.6;55.1;368.3;44.3;313.9;-
"Rdeèe sorte- Modra frankinja";22.6;58.4;106.2;108.1;68.4;101.4;215.2;-;8.8;15.6;34.3;131.3;227.7;39.3;235.6;-
"Rdeèe sorte- Modri pinot";6.9;19.7;28.1;51.2;52.9;19.2;4.4;-;6.0;14.1;24.4;39.4;91.4;21.0;13.5;-
"Rdeèe sorte- Portugalka";z;z;1.8;2.0;2.9;1.2;6.0;-;z;z;z;1.7;5.1;1.5;4.2;-
"Rdeèe sorte- Refošk";42.9;56.9;207.6;213.9;316.0;123.0;331.3;-;21.7;31.3;35.0;159.7;612.1;78.2;383.0;-
"Rdeèe sorte- Zweigelt";4.2;5.3;14.1;5.0;3.9;1.0;1.0;-;0.7;2.2;2.6;13.8;18.7;1.4;1.0;-
"Rdeèe sorte- Žametovka";21.7;33.7;64.9;116.9;119.8;154.8;401.7;-;14.2;18.7;23.5;79.5;244.4;71.8;405.0;-
"Rdeèe sorte- Syrah";z;z;4.5;14.3;2.8;-;-;-;z;z;z;3.9;19.6;-;-;-
"Ostale rdeèe sorte";0.9;3.3;6.0;9.4;14.3;32.9;76.9;-;0.6;1.5;5.9;16.0;44.4;39.5;236.7;-
"Ni podatka o sorti";z;2.7;2.8;6.4;19.1;42.7;99.7;z;0.4;0.3;0.5;0.4;1.4;1.4;7.2;-
