Kmetijska gospodarstva po: VINOGRAD, STATISTIÈNA REGIJA, LETO , MERITVE;;;;;;;
;;;;;;;
 ; ;2000; ; ;2010; ; 
 ; ;Površina;Število kmetijskih gospodarstev;Število trt;Površina;Število kmetijskih gospodarstev;Število trt
Vinograd - SKUPAJ;;;;;;;
 ;SLOVENIJA;16603;35129;53186036;16351;26328;57092800
 ;01.01 -  POMURSKA STATISTIÈNA REGIJA;2128;5939;7303774;1897;3564;7057813
 ;01.02 -  PODRAVSKA STATISTIÈNA REGIJA;4137;7029;13612813;3962;5316;13934981
 ;01.03 -  KOROŠKA STATISTIÈNA REGIJA;z;z;1500;z;z;4379
 ;01.04 -  SAVINJSKA STATISTIÈNA REGIJA;1208;4621;4102819;1004;3649;3879814
 ;01.05 -  ZASAVSKA STATISTIÈNA REGIJA;z;z;4876;z;z;8985
 ;01.06 -  SPODNJEPOSAVSKA STATISTIÈNA REGIJA;1630;4268;5398249;1612;3701;6226615
 ;01.07 -  JUGOVZHODNA SLOVENIJA;1415;7016;5178756;1055;5238;4211499
 ;02.08 -  OSREDNJESLOVENSKA STATISTIÈNA REGIJA;111;652;297295;119;445;297911
 ;02.09 -  GORENJSKA STATISTIÈNA REGIJA;6;14;15907;z;11;9303
 ;01.10 -  NOTRANJSKO - KRAŠKA STATISTIÈNA REGIJA;z;z;700;z;10;3307
 ;02.11 -  GORIŠKA STATISTIÈNA REGIJA;3974;3030;11694941;4332;2478;14085621
 ;02.12 -  OBALNO - KRAŠKA STATISTIÈNA REGIJA;1991;2541;5574406;z;1889;7372572
Vinograd - bele sorte;;;;;;;
 ;SLOVENIJA;12280;32528;40227342;11247;24823;39687738
 ;01.01 -  POMURSKA STATISTIÈNA REGIJA;2046;5131;7112437;1779;3325;6662650
 ;01.02 -  PODRAVSKA STATISTIÈNA REGIJA;4005;6451;13301107;3721;5008;13188954
 ;01.03 -  KOROŠKA STATISTIÈNA REGIJA;z;z;1000;1;7;z
 ;01.04 -  SAVINJSKA STATISTIÈNA REGIJA;898;4178;3140758;743;3274;2947523
 ;01.05 -  ZASAVSKA STATISTIÈNA REGIJA;z;z;1854;1;9;4590
 ;01.06 -  SPODNJEPOSAVSKA STATISTIÈNA REGIJA;763;4083;2513992;687;3600;2615141
 ;01.07 -  JUGOVZHODNA SLOVENIJA;926;6791;3434071;626;5103;2457847
 ;02.08 -  OSREDNJESLOVENSKA STATISTIÈNA REGIJA;70;600;193190;60;409;146361
 ;02.09 -  GORENJSKA STATISTIÈNA REGIJA;2;12;5395;1;7;5048
 ;01.10 -  NOTRANJSKO - KRAŠKA STATISTIÈNA REGIJA;z;z;300;1;6;z
 ;02.11 -  GORIŠKA STATISTIÈNA REGIJA;2811;2945;8467704;2818;2409;9200650
 ;02.12 -  OBALNO - KRAŠKA STATISTIÈNA REGIJA;758;2322;2055534;809;1666;2453448
Vinograd - rdeèe sorte;;;;;;;
 ;SLOVENIJA;4323;18285;12958694;5105;14524;17405062
 ;01.01 -  POMURSKA STATISTIÈNA REGIJA;82;1491;191337;117;667;395163
 ;01.02 -  PODRAVSKA STATISTIÈNA REGIJA;131;1204;311706;241;891;746027
 ;01.03 -  KOROŠKA STATISTIÈNA REGIJA;z;z;500;z;z;z
 ;01.04 -  SAVINJSKA STATISTIÈNA REGIJA;310;2883;962061;262;2339;932291
 ;01.05 -  ZASAVSKA STATISTIÈNA REGIJA;z;z;3022;z;z;4395
 ;01.06 -  SPODNJEPOSAVSKA STATISTIÈNA REGIJA;867;4036;2884257;925;3408;3611474
 ;01.07 -  JUGOVZHODNA SLOVENIJA;489;4500;1744685;429;3513;1753652
 ;02.08 -  OSREDNJESLOVENSKA STATISTIÈNA REGIJA;41;346;104105;59;337;151550
 ;02.09 -  GORENJSKA STATISTIÈNA REGIJA;4;11;10512;z;8;4255
 ;01.10 -  NOTRANJSKO - KRAŠKA STATISTIÈNA REGIJA;z;z;400;z;6;z
 ;02.11 -  GORIŠKA STATISTIÈNA REGIJA;1164;1849;3227237;1514;1750;4884971
 ;02.12 -  OBALNO - KRAŠKA STATISTIÈNA REGIJA;1233;1949;3518872;z;1582;4919124
;;;;;;;
